param NumberOfPoints:=1156;
param NumberOfDimensions:=2;
param NumberOfClusters:=4;
param Point:=
1 1 -5.884856394992998
1 2 3.8808258708231325
2 1 -7.503967268635824
2 2 2.9644010828537386
3 1 -6.437562768429449
3 2 3.5410106380412976
4 1 -7.064600444700042
4 2 4.776495473396494
5 1 -6.271926524617169
5 2 2.7091923984705266
6 1 -5.347401551500306
6 2 2.997380870506417
7 1 -6.959089526333741
7 2 3.9037271020784807
8 1 -5.403844411966394
8 2 1.7078369494190035
9 1 -7.025626102873984
9 2 3.861739575727625
10 1 -5.66654923934848
10 2 4.262222185146074
11 1 -5.831623256814057
11 2 3.943899322653769
12 1 -6.116617292642935
12 2 3.6169091945513623
13 1 -6.951295893788387
13 2 3.298045774060289
14 1 -5.191155477025491
14 2 3.5283054383426626
15 1 -5.023040843051214
15 2 2.879948257919523
16 1 -7.359185160968835
16 2 3.197684260362326
17 1 -5.825826505315016
17 2 3.701125287068999
18 1 -6.597640399712732
18 2 3.4289718275854297
19 1 -5.633232774212102
19 2 3.0535417954400765
20 1 -5.845831802018812
20 2 2.3014067678029937
21 1 -6.215034871777354
21 2 3.14821276893128
22 1 -6.332504585732345
22 2 3.327346824593967
23 1 -3.808562225724084
23 2 5.888930505651638
24 1 -9.019748776798007
24 2 5.194696270213967
25 1 -7.237801327252788
25 2 4.068569341356924
26 1 -6.420628944478148
26 2 4.429184051680898
27 1 -4.8022043497080915
27 2 3.6287965054296496
28 1 -5.782083863693435
28 2 3.626347257909068
29 1 -6.322740599736419
29 2 4.386710715168118
30 1 -5.664078752083791
30 2 3.251421946013891
31 1 -6.338677035079847
31 2 5.077709146964688
32 1 -5.454289242805404
32 2 4.306649915782602
33 1 -5.2630120149973045
33 2 3.807865933168777
34 1 -5.732469593955411
34 2 2.728438903379895
35 1 -6.70067037681947
35 2 3.7918400898032583
36 1 -6.158480637429328
36 2 2.9963782046842717
37 1 -5.224799772643772
37 2 3.0988356400767803
38 1 -5.099630263484579
38 2 5.211491772201308
39 1 -6.145550988696894
39 2 6.142168578624622
40 1 -7.431284736926192
40 2 1.9788384938373487
41 1 -7.045601492360882
41 2 4.440419333775
42 1 -7.421063287229083
42 2 4.138707243601278
43 1 -5.261863795462229
43 2 2.7555381733291147
44 1 -7.044934852956699
44 2 2.3879851340897993
45 1 -7.150232521498046
45 2 2.788165625125913
46 1 -7.1581413633805475
46 2 2.789390989349361
47 1 -6.171681564988752
47 2 4.125915300206076
48 1 -5.96277313332482
48 2 4.658173037803669
49 1 -4.593392904432636
49 2 3.4189265674879157
50 1 -6.0749664282386275
50 2 5.919434388372199
51 1 -6.435964332026259
51 2 3.291494916856246
52 1 -7.2153166737054875
52 2 2.905146742991248
53 1 -5.66648833479573
53 2 4.322336408339396
54 1 -7.140847120725948
54 2 2.5864322051871182
55 1 -6.163245956689719
55 2 4.097824311631133
56 1 -6.581553886532391
56 2 2.944539388305464
57 1 -6.263458477335109
57 2 4.624865292854345
58 1 -6.544218029757019
58 2 3.9081952808110554
59 1 -6.281869154995803
59 2 3.4397974953261006
60 1 -4.642815865568212
60 2 2.5434837880015255
61 1 -5.014125645594992
61 2 4.12096112290137
62 1 -5.578044330261063
62 2 3.428907980676087
63 1 -5.464395893311648
63 2 5.713798718897021
64 1 -6.049452456761482
64 2 4.587823242189709
65 1 -5.887703452679816
65 2 2.529872022102305
66 1 -5.674358125408411
66 2 3.7935632294053074
67 1 -6.32021712882595
67 2 4.31726196935031
68 1 -6.710632157121801
68 2 4.3010868657281645
69 1 -5.790409739189699
69 2 1.8539707550619524
70 1 -7.325450288157091
70 2 2.445987868163241
71 1 -7.635610159727495
71 2 4.142105453633934
72 1 -5.32010191087978
72 2 2.799343306411964
73 1 -6.789803451883869
73 2 4.5431671048743265
74 1 -6.3076150395118855
74 2 3.6222851589428573
75 1 -5.829002372216879
75 2 4.666782321564679
76 1 -6.618964612567026
76 2 4.19804682989748
77 1 -5.3040145633223625
77 2 2.832838777224569
78 1 -7.00332102100377
78 2 3.329379574216751
79 1 -6.233997946837361
79 2 1.2144786762828255
80 1 -5.958107424070421
80 2 4.881929068168919
81 1 -7.844425629926168
81 2 4.644987911806007
82 1 -6.709091965474549
82 2 3.871642575548011
83 1 -8.378598852126645
83 2 4.836457269570442
84 1 -5.0338753543443095
84 2 5.465328136003626
85 1 -7.247331209334482
85 2 4.8103506637522635
86 1 -6.3097561453218285
86 2 3.741309829352796
87 1 -4.824786527564427
87 2 4.164568512419033
88 1 -7.421647500716031
88 2 3.914155490647419
89 1 -6.550129398971489
89 2 3.6877596397755372
90 1 -8.514027344286447
90 2 4.884314001365322
91 1 -5.818396057585835
91 2 2.891062301436314
92 1 -7.500777719375758
92 2 2.700084693711613
93 1 -6.022300639331352
93 2 4.773085232100255
94 1 -6.368161151196271
94 2 2.3023196133196855
95 1 -7.356964825439169
95 2 4.902874802678876
96 1 -6.19460204599488
96 2 3.348106576049776
97 1 -7.665936025138511
97 2 3.2098709681834134
98 1 -6.590212664195937
98 2 4.553080976032339
99 1 -8.384232081631342
99 2 2.3494569727374044
100 1 -5.622376436606021
100 2 1.7815449508396204
101 1 -7.296920857662943
101 2 3.368708912756285
102 1 -6.311511512449608
102 2 3.6910952118966907
103 1 -5.389773615244703
103 2 3.070945598470857
104 1 -6.439331462110205
104 2 3.3775767910574857
105 1 -6.499740453424118
105 2 3.659795675715486
106 1 -6.841922755684861
106 2 3.1495825104665
107 1 -6.152351484131271
107 2 3.490256628839808
108 1 -6.282278565977685
108 2 3.955563725744606
109 1 -6.9737927629845675
109 2 3.010579661069639
110 1 -6.846504948870357
110 2 4.369317240966706
111 1 -5.351034262704237
111 2 4.611176597830486
112 1 -6.689064509762799
112 2 2.523986294199905
113 1 -6.542068820225669
113 2 4.507815087843746
114 1 -7.4089258262413065
114 2 3.0939844288141924
115 1 -7.30961780017635
115 2 4.415617710692853
116 1 -6.394921475058139
116 2 2.986014366094442
117 1 -6.886988673454244
117 2 3.771563076515896
118 1 -7.665560258533985
118 2 4.820224933840306
119 1 -6.253777026116868
119 2 3.8238676211699665
120 1 -6.215674436234247
120 2 3.004264541363691
121 1 -7.258869490197023
121 2 5.190974843032803
122 1 -5.822377146827652
122 2 3.162241576032192
123 1 -5.581538137543564
123 2 3.8207677693540476
124 1 -7.285311385129457
124 2 4.953856563699416
125 1 -5.439361926366755
125 2 3.0852072923865195
126 1 -5.366908118713871
126 2 3.0244838379017445
127 1 -7.793059507857041
127 2 1.1579147567954071
128 1 -5.427467040434664
128 2 4.7232755650428535
129 1 -6.166904814099086
129 2 4.288027939858293
130 1 -7.494011983211415
