param NumberOfDimensions := 2;
param NumberOfPoints := 300;
param NumberOfClusters:= 3;

param Point :=
1 1 -0.1972171501574954
1 2 8.255922735858558
2 1 1.184272038409139
2 2 7.080087136888171
3 1 1.1311344708472622
3 2 8.758666355151753
4 1 0.5638162664047717
4 2 9.643192639374849
5 1 -0.234380152618621
5 2 10.33468047713621
6 1 -0.4903895788350575
6 2 8.570525780315492
7 1 -0.8202284432658473
7 2 9.257876686367876
8 1 -1.0954317638115345
8 2 7.733106340239902
9 1 -0.288055946026896
9 2 7.503862808685779
10 1 -1.2269423882811554
10 2 8.27728328335731
11 1 1.789770232354928
11 2 10.263402030631793
12 1 -0.8217164796840639
12 2 7.93759523741616
13 1 -0.11731902623195409
13 2 8.420800667779956
14 1 -2.133295614033085
14 2 8.683830883780312
15 1 2.0754870347094756
15 2 8.021947354197463
16 1 0.4521535536216029
16 2 8.140439418363458
17 1 -1.4191524666770858
17 2 8.475560477734314
18 1 -0.39565199845345955
18 2 6.933213221309428
19 1 -1.224306902189491
19 2 8.411146271365148
20 1 -0.842422752398127
20 2 6.607510584244701
21 1 1.438595842075844
21 2 9.634082922610231
22 1 -0.9535060016666048
22 2 9.454772318094037
23 1 -0.016213160593506026
23 2 7.997555736352606
24 1 0.35678746397167926
24 2 7.936560177648519
25 1 -0.3108031710807884
25 2 8.378801652589566
26 1 -1.1822304702545718
26 2 8.996850595215673
27 1 -0.5038680686716445
27 2 9.870956851604667
28 1 -0.8880163583786439
28 2 8.019143575504396
29 1 1.1604740701932297
29 2 10.42512575727271
30 1 0.12789220969445514
30 2 8.243213317888234
31 1 -1.4339746522799364
31 2 8.4131077997553
32 1 -0.3311501572838532
32 2 8.108706644455728
33 1 0.0032269145517105358
33 2 8.561000637514516
34 1 -0.8215478197294401
34 2 9.59401552441637
35 1 -0.39273262884335136
35 2 9.104001515012992
36 1 -0.11876992690530924
36 2 8.877836910305536
37 1 -1.1931693247930755
37 2 9.72945429437998
38 1 0.435813737440531
38 2 9.121727455847779
39 1 -2.2971097319382134
39 2 9.10831559665367
40 1 -1.7519211391235188
40 2 8.027007704028959
41 1 0.3266057111103652
41 2 9.103480868383263
42 1 -0.9363655547214258
42 2 8.667427071086284
43 1 -1.1157496625514478
43 2 6.13166373600016
44 1 -1.4584934143745876
44 2 8.853163165963057
45 1 1.334266842841782
