param NumberOfPoints:=1150;
param NumberOfDimensions:=2;
param NumberOfClusters:=5;
param Point:=
1 1 -1.101866314845453
1 2 5.428908068671125
2 1 -1.86562472201737
2 2 5.603449793477607
3 1 -2.6265632707241804
3 2 5.038840915709484
4 1 -1.474977664800698
4 2 2.5203721369847556
5 1 -0.09122155861886339
5 2 3.9556887260487255
6 1 -0.34169854191774585
6 2 4.242942663014476
7 1 -3.1937347605293347
7 2 5.753955163773221
8 1 0.5896332684936558
8 2 2.1761056767017983
9 1 -2.663365583565657
9 2 3.8637831619785157
10 1 -0.8707198844198196
10 2 4.612566649895383
11 1 -1.1688309501458185
11 2 3.669234664797566
12 1 -1.8522704703276893
12 2 5.420832651100658
13 1 -3.3039571958651894
13 2 4.795907495112578
14 1 -0.7619734224766672
14 2 5.354260855330462
15 1 -2.221126484455677
15 2 4.79326106787485
16 1 -2.2636349154634243
16 2 5.591451877162314
17 1 -1.4226636567840427
17 2 5.352997466036338
18 1 -2.192138143234858
18 2 5.8446384602938855
19 1 -0.0639784006723807
19 2 3.4088116850246184
20 1 -0.38054834608894983
20 2 5.533035664128966
21 1 -1.8895379586998826
21 2 5.849806725844564
22 1 -1.6937525810390706
22 2 4.941046053187285
23 1 -0.676442710506579
23 2 4.933529869668345
24 1 -0.12659610602661475
24 2 5.181345778029817
25 1 -1.8843845347502506
25 2 5.094723654477554
26 1 -1.826124088390439
26 2 4.312324079238986
27 1 -0.4235059196343388
27 2 5.200996858376079
28 1 -2.742042033217348
28 2 5.961267127925821
29 1 0.4589235130647513
29 2 4.768532651253353
30 1 -0.6745630189861489
30 2 4.786780245441326
31 1 -0.5905752947684699
31 2 4.658959235453815
32 1 -1.30169894963196
32 2 5.18233413734426
33 1 -3.1994980656831045
33 2 4.859537284440829
34 1 -3.4793141695376364
34 2 4.246300068946454
35 1 -2.423705722513685
35 2 5.078349335614226
36 1 -1.1198878162695443
36 2 5.314425835475711
37 1 -0.7893916719378966
37 2 4.084415786211904
38 1 -0.45992070451358824
38 2 5.1917295584975705
39 1 -3.3682913209805316
39 2 5.1026813160796625
40 1 0.5177079814899073
40 2 4.811226626493693
41 1 -0.2359657188790576
41 2 3.7564404046967175
42 1 -0.6043822351688594
42 2 4.961766770686921
43 1 -1.9497524071822272
43 2 5.220196009492882
44 1 -1.2279751964929564
44 2 5.084054084251839
45 1 -1.935066615530098
45 2 4.062076015133298
46 1 -0.8457744817390566
46 2 4.316569865021907
47 1 -1.6567084438016713
47 2 3.600035510788651
48 1 -1.358798100294961
48 2 6.15846634119946
49 1 -1.4185494882933658
49 2 5.807268524697574
50 1 -1.9356240751746159
50 2 4.675208579304391
51 1 -1.389272489251629
51 2 4.857377485884863
52 1 -2.233266001317187
52 2 3.885985470117729
53 1 -1.6962945609728175
53 2 5.907186869888586
54 1 -1.6024037212827393
54 2 5.022181130648279
55 1 -1.8610130830695413
55 2 4.479640847252162
56 1 -0.3024733310144754
56 2 4.242332656486137
57 1 -0.8982699854523144
57 2 5.361888068903182
58 1 -2.8506326007383174
58 2 5.927946239797014
59 1 -1.0185046269669078
59 2 4.5613035153610495
60 1 -0.1602788650959508
60 2 2.9341172847966397
61 1 -0.9410580408613411
61 2 3.3124424522251394
62 1 -2.3546387136373106
62 2 4.625054580339329
63 1 -2.4541626019592204
63 2 5.761561895409991
64 1 -1.8510156926635526
64 2 3.549213529677256
65 1 -1.8400487733886477
65 2 7.009130198531752
66 1 -0.7212120471557517
66 2 5.421711857560675
67 1 -0.6016274254412588
67 2 4.138011433139566
68 1 -2.183637390467378
68 2 3.584896906700634
69 1 -2.0960490286320654
69 2 4.463532339223081
70 1 -2.465195793189948
70 2 5.6587427964453365
71 1 -1.0873869651295671
71 2 4.942121335578648
72 1 -1.4217793067078184
72 2 4.160805017755033
73 1 -0.17499730048359874
73 2 5.753606344988335
74 1 -1.3017385253759248
74 2 4.885274860010086
75 1 -2.018316890646359
75 2 3.4550886028944063
76 1 -1.4943104443780542
76 2 5.111768816989054
77 1 -0.21830403199152215
77 2 5.331429753051737
78 1 0.173700133115974
78 2 3.319425195046383
79 1 -2.0010306057523524
79 2 4.2381823856217204
80 1 -1.2830067131434741
80 2 4.045225997182174
81 1 -1.3342124386318817
81 2 3.905668717011552
82 1 -1.173297831707663
82 2 4.744472162890935
83 1 -1.1105700182605487
83 2 6.987765918468853
84 1 -0.30905767849365784
84 2 5.430120019249782
85 1 -1.8935469782073637
85 2 4.070735430612286
86 1 -0.9566076096374636
86 2 3.6593821034937806
87 1 -1.6598517399931738
87 2 4.355510300245686
88 1 -0.871797476478829
88 2 6.987767413111054
89 1 -1.493192014763987
89 2 4.332180772913103
90 1 -0.5425847943322659
90 2 3.741793274871481
91 1 0.03322059651229381
91 2 4.916192830635262
