,iteration,P_i,C_j
0,0,1,1
1,0,2,2
2,0,3,3
3,0,4,4
4,0,5,5
5,0,6,5
6,0,7,5
7,0,8,5
8,0,9,5
9,0,10,5
10,0,11,5
11,0,12,5
12,0,13,5
13,0,14,5
14,0,15,5
15,0,16,5
16,0,17,5
17,0,18,5
18,0,19,5
19,0,20,5
20,0,21,5
21,0,22,5
22,0,23,5
23,0,24,5
24,0,25,5
25,0,26,5
26,0,27,5
27,0,28,5
28,0,29,5
29,0,30,5
30,0,31,5
31,0,32,5
32,0,33,5
33,0,34,5
34,0,35,5
35,0,36,5
36,0,37,5
37,0,38,5
38,0,39,5
39,0,40,5
40,0,41,5
41,0,42,5
42,0,43,5
43,0,44,5
44,0,45,5
45,0,46,5
46,0,47,5
47,0,48,5
48,0,49,5
49,0,50,5
50,0,51,5
51,0,52,5
52,0,53,5
53,0,54,5
54,0,55,5
55,0,56,5
56,0,57,5
57,0,58,5
58,0,59,5
59,0,60,5
60,0,61,5
61,0,62,5
62,0,63,5
63,0,64,5
64,0,65,5
65,0,66,5
66,0,67,5
67,0,68,5
68,0,69,5
69,0,70,5
70,0,71,5
71,0,72,5
72,0,73,5
73,0,74,5
74,0,75,5
75,0,76,5
76,0,77,5
77,0,78,5
78,0,79,5
79,0,80,5
80,0,81,5
81,0,82,5
82,0,83,5
83,0,84,5
84,0,85,5
85,0,86,5
86,0,87,5
87,0,88,5
88,0,89,5
89,0,90,5
90,0,91,5
91,0,92,5
92,0,93,5
93,0,94,5
94,0,95,5
95,0,96,5
96,0,97,5
97,0,98,5
98,0,99,5
99,0,100,5
100,0,101,5
101,0,102,5
102,0,103,5
103,0,104,5
104,0,105,5
105,0,106,5
106,0,107,5
107,0,108,5
108,0,109,5
109,0,110,5
110,0,111,5
111,0,112,5
112,0,113,5
113,0,114,5
114,0,115,5
115,0,116,5
116,0,117,5
117,0,118,5
118,0,119,5
119,0,120,5
120,0,121,5
121,0,122,5
122,0,123,5
123,0,124,5
124,0,125,5
125,0,126,5
126,0,127,5
127,0,128,5
128,0,129,5
129,0,130,5
130,0,131,5
131,0,132,5
132,0,133,5
133,0,134,5
134,0,135,5
135,0,136,5
136,0,137,5
137,0,138,5
138,0,139,5
139,0,140,5
140,0,141,5
141,0,142,5
142,0,143,5
143,0,144,5
144,0,145,5
145,0,146,5
146,0,147,5
147,0,148,5
148,0,149,5
149,0,150,5
150,0,151,5
151,0,152,5
152,0,153,5
153,0,154,5
154,0,155,5
155,0,156,5
156,0,157,5
157,0,158,5
158,0,159,5
159,0,160,5
160,0,161,5
161,0,162,5
162,0,163,5
163,0,164,5
164,0,165,5
165,0,166,5
166,0,167,5
167,0,168,5
168,0,169,5
169,0,170,5
170,0,171,5
171,0,172,5
172,0,173,5
173,0,174,5
