param NumberOfPoints:=150;
param NumberOfDimensions:=4;
param NumberOfClusters:=3;
param Point:=
1 1 5.1
1 2 3.5
1 3 1.4
1 4 0.2
2 1 4.9
2 2 3.0
2 3 1.4
2 4 0.2
3 1 4.7
3 2 3.2
3 3 1.3
3 4 0.2
4 1 4.6
4 2 3.1
4 3 1.5
4 4 0.2
5 1 5.0
5 2 3.6
5 3 1.4
5 4 0.2
6 1 5.4
6 2 3.9
6 3 1.7
6 4 0.4
7 1 4.6
7 2 3.4
7 3 1.4
7 4 0.3
8 1 5.0
8 2 3.4
8 3 1.5
8 4 0.2
9 1 4.4
9 2 2.9
9 3 1.4
9 4 0.2
10 1 4.9
10 2 3.1
10 3 1.5
10 4 0.1
11 1 5.4
11 2 3.7
11 3 1.5
11 4 0.2
12 1 4.8
12 2 3.4
12 3 1.6
12 4 0.2
13 1 4.8
13 2 3.0
13 3 1.4
13 4 0.1
14 1 4.3
14 2 3.0
14 3 1.1
14 4 0.1
15 1 5.8
15 2 4.0
15 3 1.2
15 4 0.2
16 1 5.7
16 2 4.4
16 3 1.5
16 4 0.4
17 1 5.4
17 2 3.9
17 3 1.3
17 4 0.4
18 1 5.1
18 2 3.5
18 3 1.4
18 4 0.3
19 1 5.7
19 2 3.8
19 3 1.7
19 4 0.3
20 1 5.1
20 2 3.8
20 3 1.5
20 4 0.3
21 1 5.4
21 2 3.4
21 3 1.7
21 4 0.2
22 1 5.1
22 2 3.7
22 3 1.5
22 4 0.4
23 1 4.6
23 2 3.6
23 3 1.0
23 4 0.2
24 1 5.1
24 2 3.3
24 3 1.7
24 4 0.5
25 1 4.8
25 2 3.4
25 3 1.9
25 4 0.2
26 1 5.0
26 2 3.0
26 3 1.6
26 4 0.2
27 1 5.0
27 2 3.4
27 3 1.6
27 4 0.4
28 1 5.2
28 2 3.5
28 3 1.5
28 4 0.2
29 1 5.2
29 2 3.4
29 3 1.4
29 4 0.2
30 1 4.7
30 2 3.2
30 3 1.6
30 4 0.2
31 1 4.8
31 2 3.1
31 3 1.6
31 4 0.2
32 1 5.4
32 2 3.4
32 3 1.5
32 4 0.4
33 1 5.2
33 2 4.1
33 3 1.5
33 4 0.1
34 1 5.5
34 2 4.2
34 3 1.4
34 4 0.2
35 1 4.9
35 2 3.1
35 3 1.5
35 4 0.1
36 1 5.0
36 2 3.2
36 3 1.2
36 4 0.2
37 1 5.5
37 2 3.5
37 3 1.3
37 4 0.2
38 1 4.9
38 2 3.1
38 3 1.5
38 4 0.1
39 1 4.4
39 2 3.0
39 3 1.3
39 4 0.2
40 1 5.1
40 2 3.4
40 3 1.5
40 4 0.2
41 1 5.0
41 2 3.5
41 3 1.3
41 4 0.3
42 1 4.5
42 2 2.3
42 3 1.3
42 4 0.3
43 1 4.4
43 2 3.2
43 3 1.3
43 4 0.2
44 1 5.0
44 2 3.5
44 3 1.6
44 4 0.6
45 1 5.1
45 2 3.8
45 3 1.9
45 4 0.4
46 1 4.8
46 2 3.0
46 3 1.4
46 4 0.3
47 1 5.1
47 2 3.8
47 3 1.6
47 4 0.2
48 1 4.6
48 2 3.2
48 3 1.4
48 4 0.2
49 1 5.3
49 2 3.7
49 3 1.5
49 4 0.2
50 1 5.0
50 2 3.3
50 3 1.4
50 4 0.2
51 1 7.0
51 2 3.2
51 3 4.7
51 4 1.4
52 1 6.4
52 2 3.2
52 3 4.5
52 4 1.5
53 1 6.9
53 2 3.1
53 3 4.9
53 4 1.5
54 1 5.5
54 2 2.3
54 3 4.0
54 4 1.3
55 1 6.5
55 2 2.8
55 3 4.6
55 4 1.5
56 1 5.7
56 2 2.8
56 3 4.5
56 4 1.3
57 1 6.3
57 2 3.3
57 3 4.7
57 4 1.6
58 1 4.9
58 2 2.4
58 3 3.3
58 4 1.0
59 1 6.6
59 2 2.9
59 3 4.6
59 4 1.3
60 1 5.2
60 2 2.7
60 3 3.9
60 4 1.4
61 1 5.0
61 2 2.0
61 3 3.5
61 4 1.0
62 1 5.9
62 2 3.0
62 3 4.2
62 4 1.5
63 1 6.0
63 2 2.2
63 3 4.0
63 4 1.0
64 1 6.1
64 2 2.9
64 3 4.7
64 4 1.4
65 1 5.6
65 2 2.9
65 3 3.6
65 4 1.3
66 1 6.7
66 2 3.1
66 3 4.4
66 4 1.4
67 1 5.6
67 2 3.0
67 3 4.5
67 4 1.5
68 1 5.8
68 2 2.7
68 3 4.1
68 4 1.0
69 1 6.2
69 2 2.2
69 3 4.5
69 4 1.5
70 1 5.6
70 2 2.5
70 3 3.9
70 4 1.1
71 1 5.9
71 2 3.2
71 3 4.8
71 4 1.8
72 1 6.1
72 2 2.8
72 3 4.0
72 4 1.3
73 1 6.3
73 2 2.5
73 3 4.9
73 4 1.5
74 1 6.1
74 2 2.8
74 3 4.7
74 4 1.2
75 1 6.4
75 2 2.9
75 3 4.3
75 4 1.3
76 1 6.6
76 2 3.0
76 3 4.4
76 4 1.4
77 1 6.8
77 2 2.8
77 3 4.8
77 4 1.4
78 1 6.7
78 2 3.0
78 3 5.0
78 4 1.7
79 1 6.0
79 2 2.9
79 3 4.5
79 4 1.5
80 1 5.7
80 2 2.6
80 3 3.5
80 4 1.0
81 1 5.5
81 2 2.4
81 3 3.8
81 4 1.1
82 1 5.5
82 2 2.4
82 3 3.7
82 4 1.0
83 1 5.8
83 2 2.7
83 3 3.9
83 4 1.2
84 1 6.0
84 2 2.7
84 3 5.1
84 4 1.6
85 1 5.4
85 2 3.0
85 3 4.5
85 4 1.5
86 1 6.0
86 2 3.4
86 3 4.5
86 4 1.6
87 1 6.7
87 2 3.1
87 3 4.7
87 4 1.5
88 1 6.3
88 2 2.3
88 3 4.4
88 4 1.3
89 1 5.6
89 2 3.0
89 3 4.1
89 4 1.3
90 1 5.5
90 2 2.5
90 3 4.0
90 4 1.3
91 1 5.5
91 2 2.6
91 3 4.4
91 4 1.2
92 1 6.1
92 2 3.0
92 3 4.6
92 4 1.4
93 1 5.8
93 2 2.6
93 3 4.0
93 4 1.2
94 1 5.0
94 2 2.3
94 3 3.3
94 4 1.0
95 1 5.6
95 2 2.7
95 3 4.2
95 4 1.3
96 1 5.7
96 2 3.0
96 3 4.2
96 4 1.2
97 1 5.7
97 2 2.9
97 3 4.2
97 4 1.3
98 1 6.2
98 2 2.9
98 3 4.3
98 4 1.3
99 1 5.1
99 2 2.5
99 3 3.0
99 4 1.1
100 1 5.7
100 2 2.8
100 3 4.1
100 4 1.3
101 1 6.3
101 2 3.3
101 3 6.0
101 4 2.5
102 1 5.8
102 2 2.7
102 3 5.1
102 4 1.9
103 1 7.1
103 2 3.0
103 3 5.9
103 4 2.1
104 1 6.3
104 2 2.9
104 3 5.6
104 4 1.8
105 1 6.5
105 2 3.0
105 3 5.8
105 4 2.2
106 1 7.6
106 2 3.0
106 3 6.6
106 4 2.1
107 1 4.9
107 2 2.5
107 3 4.5
107 4 1.7
108 1 7.3
108 2 2.9
108 3 6.3
108 4 1.8
109 1 6.7
109 2 2.5
109 3 5.8
109 4 1.8
110 1 7.2
110 2 3.6
110 3 6.1
110 4 2.5
111 1 6.5
111 2 3.2
111 3 5.1
111 4 2.0
112 1 6.4
112 2 2.7
112 3 5.3
112 4 1.9
113 1 6.8
113 2 3.0
113 3 5.5
113 4 2.1
114 1 5.7
114 2 2.5
114 3 5.0
114 4 2.0
