,iteration,P_i,C_j
0,0,1,1
1,0,2,2
2,0,3,3
3,0,4,1
4,0,5,2
5,0,6,3
6,0,7,1
7,0,8,2
8,0,9,3
9,0,10,1
10,0,11,2
11,0,12,3
12,0,13,1
13,0,14,2
14,0,15,3
15,0,16,1
16,0,17,2
17,0,18,3
18,0,19,1
19,0,20,2
20,0,21,3
21,0,22,1
22,0,23,2
23,0,24,3
24,0,25,1
25,0,26,2
26,0,27,3
27,0,28,1
28,0,29,2
29,0,30,3
30,0,31,1
31,0,32,2
32,0,33,3
33,0,34,1
34,0,35,2
35,0,36,3
36,0,37,1
37,0,38,2
38,0,39,3
39,0,40,1
40,0,41,2
41,0,42,3
42,0,43,1
43,0,44,2
44,0,45,3
45,0,46,1
46,0,47,2
47,0,48,3
48,0,49,1
49,0,50,2
50,0,51,3
51,0,52,1
52,0,53,2
53,0,54,3
54,0,55,1
55,0,56,2
56,0,57,3
57,0,58,1
58,0,59,2
59,0,60,3
60,0,61,1
61,0,62,2
62,0,63,3
63,0,64,1
64,0,65,2
65,0,66,3
66,0,67,1
67,0,68,2
68,0,69,3
69,0,70,1
70,0,71,2
71,0,72,3
72,0,73,1
73,0,74,2
74,0,75,3
75,0,76,1
76,0,77,2
77,0,78,3
78,0,79,1
79,0,80,2
80,0,81,3
81,0,82,1
82,0,83,2
83,0,84,3
84,0,85,1
85,0,86,2
86,0,87,3
87,0,88,1
88,0,89,2
89,0,90,3
90,0,91,1
91,0,92,2
92,0,93,3
93,0,94,1
94,0,95,2
95,0,96,3
96,0,97,1
97,0,98,2
98,0,99,3
99,0,100,1
100,0,101,2
101,0,102,3
102,0,103,1
103,0,104,2
104,0,105,3
105,0,106,1
106,0,107,2
107,0,108,3
108,0,109,1
109,0,110,2
110,0,111,3
111,0,112,1
112,0,113,2
113,0,114,3
114,0,115,1
115,0,116,2
116,0,117,3
117,0,118,1
118,0,119,2
119,0,120,3
120,0,121,1
121,0,122,2
122,0,123,3
123,0,124,1
124,0,125,2
125,0,126,3
126,0,127,1
127,0,128,2
128,0,129,3
129,0,130,1
130,0,131,2
131,0,132,3
132,0,133,1
133,0,134,2
134,0,135,3
135,0,136,1
136,0,137,2
137,0,138,3
138,0,139,1
139,0,140,2
140,0,141,3
141,0,142,1
142,0,143,2
143,0,144,3
144,0,145,1
145,0,146,2
146,0,147,3
147,0,148,1
148,0,149,2
149,0,150,3
150,1,1,3
151,1,2,3
152,1,3,3
153,1,4,3
154,1,5,1
155,1,6,1
156,1,7,1
157,1,8,3
158,1,9,3
159,1,10,3
160,1,11,1
161,1,12,3
162,1,13,3
163,1,14,1
164,1,15,3
165,1,16,3
166,1,17,1
167,1,18,1
168,1,19,3
169,1,20,3
170,1,21,3
171,1,22,3
172,1,23,3
173,1,24,3
