,iteration,index,x_1,x_2,x_3,x_4
0,0.0,1.0,5.8,2.8,4.1,1.4
1,0.0,2.0,6.05,2.95,4.15,1.25
2,0.0,3.0,6.1,2.6,4.4,1.4
3,1.0,1.0,5.8,2.8,4.1,1.4
4,1.0,2.0,6.05,2.95,4.15,1.25
5,1.0,3.0,6.1,2.6,4.4,1.4
6,2.0,1.0,4.95,3.45,1.85,0.35
7,2.0,2.0,6.1,3.0,4.4,1.3
8,2.0,3.0,6.5,2.9,5.3,1.9
9,3.0,1.0,4.95,3.45,1.85,0.35
10,3.0,2.0,6.1,3.0,4.4,1.3
11,3.0,3.0,6.5,2.9,5.3,1.9
12,4.0,1.0,5.0,3.4,1.5,0.3
13,4.0,2.0,5.8,2.8,4.3,1.4
14,4.0,3.0,6.6,2.9,5.4,2.0
15,5.0,1.0,5.0,3.4,1.5,0.3
16,5.0,2.0,5.8,2.8,4.3,1.4
17,5.0,3.0,6.6,2.9,5.4,2.0
18,6.0,1.0,5.0,3.4,1.5,0.3
19,6.0,2.0,5.8,2.8,4.3,1.4
20,6.0,3.0,6.6,3.0,5.4,2.0
21,7.0,1.0,5.0,3.4,1.5,0.3
22,7.0,2.0,5.8,2.8,4.3,1.4
23,7.0,3.0,6.6,3.0,5.4,2.0
24,8.0,1.0,5.05,3.45,1.45,0.25
25,8.0,2.0,5.8,2.8,4.3,1.4
26,8.0,3.0,6.6,2.9,5.4,2.0
27,9.0,1.0,5.05,3.45,1.45,0.25
28,9.0,2.0,5.8,2.8,4.3,1.4
29,9.0,3.0,6.6,2.9,5.4,2.0
30,10.0,1.0,5.05,3.45,1.45,0.25
31,10.0,2.0,5.8,2.8,4.3,1.3
32,10.0,3.0,6.6,2.9,5.4,2.0
33,11.0,1.0,5.05,3.45,1.45,0.25
34,11.0,2.0,5.8,2.8,4.3,1.3
35,11.0,3.0,6.6,2.9,5.4,2.0
36,12.0,1.0,5.0,3.4,1.5,0.3
37,12.0,2.0,5.8,2.8,4.2,1.3
38,12.0,3.0,6.6,2.9,5.4,2.0
39,13.0,1.0,5.0,3.4,1.5,0.3
40,13.0,2.0,5.8,2.8,4.2,1.3
41,13.0,3.0,6.6,2.9,5.4,2.0
42,14.0,1.0,5.05,3.45,1.45,0.25
43,14.0,2.0,5.8,2.8,4.2,1.3
44,14.0,3.0,6.6,2.9,5.4,2.0
45,15.0,1.0,5.05,3.45,1.45,0.25
46,15.0,2.0,5.8,2.8,4.2,1.3
47,15.0,3.0,6.6,2.9,5.4,2.0
48,16.0,1.0,5.05,3.45,1.45,0.25
49,16.0,2.0,5.8,2.8,4.2,1.3
50,16.0,3.0,6.6,2.9,5.4,2.0
