param NumberOfClusters := 4 ;
param NumberOfPoints := 150 ;
param NumberOfDimensions := 6 ;
param Point :=
1 1 62075093.12737505
1 2 54393780.02367175
1 3 70095333.02810423
1 4 64397960.280355945
1 5 25470292.932669017
1 6 49867071.496135905
2 1 51808822.79416415
2 2 46612574.35851747
2 3 5920888.446589069
2 4 49070044.16824087
2 5 40646501.325082235
2 6 1627030.5715797716
3 1 20886405.441289786
3 2 10438513.973447988
3 3 57530888.31879557
3 4 81293795.27417395
3 5 37381459.4163882
3 6 85232540.33722626
4 1 11936339.628776446
4 2 10020351.42720707
4 3 40372496.88574323
4 4 29580548.31409532
4 5 54346213.230776235
4 6 70117100.18623465
5 1 3942713.260119989
5 2 42353039.86165686
5 3 76182549.87684925
5 4 11010840.00352476
5 5 53771950.55444959
5 6 67063841.501264684
6 1 42457452.503151156
6 2 47502140.64443693
6 3 21741376.62725754
6 4 21827008.019858446
6 5 69863776.27024864
6 6 54275345.88627949
7 1 48196062.05952049
7 2 24878215.073591903
7 3 1430406.116604333
7 4 82314144.04765992
7 5 38757669.265518524
7 6 22508055.012736466
8 1 39036212.91408004
8 2 14208712.38901652
8 3 892098.3741394506
8 4 19729456.956094235
8 5 57218866.225531
8 6 32783968.644521736
9 1 90601209.12492657
9 2 71920782.84285423
9 3 80883309.39955917
9 4 77378609.66575643
9 5 40501981.15880555
9 6 76211688.91403097
10 1 71560412.36192755
10 2 85384253.17535123
10 3 3132792.717416642
10 4 83172681.37480548
10 5 14076995.590684574
10 6 34883024.31646414
11 1 50946281.45362311
11 2 11448490.936341686
11 3 91045587.40273568
11 4 19604836.486817006
11 5 77996368.40246665
11 6 87448127.70540318
12 1 28731402.658681113
12 2 76931500.70985623
12 3 85244544.80129804
12 4 86217441.28579421
12 5 87589306.86190742
12 6 14076518.591325242
13 1 22045268.1059285
13 2 26105560.288581576
13 3 26734992.59713422
13 4 90505475.33518976
13 5 4236342.659096392
13 6 89876523.29423949
14 1 86357998.14448391
14 2 54504872.30829061
14 3 5408794.663927732
14 4 10909160.357434835
14 5 50776316.05204149
14 6 51412303.879045084
15 1 61463332.98454171
15 2 87673705.20381087
15 3 91416753.82573356
15 4 91614856.72839212
15 5 2683786.737064354
15 6 77655318.99428855
16 1 50443869.24231513
16 2 53566969.06462874
16 3 89005787.9941854
16 4 44369477.01494908
16 5 19586900.967459656
16 6 81258118.9362482
17 1 76458391.61387527
17 2 56696848.75815831
17 3 88065445.61078641
17 4 23118557.964033905
17 5 700237.9723295596
17 6 22992641.764968865
18 1 9789865.19522238
18 2 11412711.856566573
18 3 51393166.06364132
18 4 37086111.1855345
18 5 86245097.56109594
18 6 38939646.875921756
19 1 20873091.489503816
19 2 43519447.76682232
19 3 12743911.286907282
19 4 10934684.520474529
19 5 22825491.12499387
19 6 71425474.34961435
20 1 29760685.587918118
20 2 87527831.3756746
20 3 67428353.58035311
20 4 67888581.51225239
20 5 38578571.44110872
20 6 25660501.188836366
21 1 50768078.16721523
21 2 16867062.103808425
21 3 51361528.092922695
21 4 55802915.5445258
21 5 75108752.43401049
21 6 2226955.7226322554
22 1 905407.4980330425
22 2 36317464.22312521
22 3 42446395.31827508
22 4 135431.3221196969
22 5 73952944.05848274
22 6 34874354.35160819
23 1 19290099.303092856
23 2 85927882.6729075
23 3 6415293.661409878
23 4 57469521.17052103
23 5 78771809.2667728
23 6 574142.1595509867
24 1 75636435.06141
24 2 56426528.488894336
24 3 20079430.925754312
24 4 58479368.108909965
24 5 71009861.09614971
24 6 72112940.25530005
25 1 8175635.847077072
25 2 86540835.69685271
25 3 15303843.272285582
25 4 80691726.39790647
25 5 8288842.73878178
25 6 27480868.234923415
26 1 64079744.43435123
26 2 46716881.625665046
26 3 6580257.036231866
26 4 9813496.473529296
26 5 78408594.76964311
26 6 20556708.30536972
27 1 54935894.551502526
27 2 56417901.55562615
27 3 73952221.77823214
27 4 85473780.57609789
27 5 80775236.33335552
27 6 83250004.47263828
28 1 38090784.590298355
28 2 20549486.42552508
28 3 8570483.799336772
28 4 50138950.15297893
28 5 71813877.22976853
28 6 28729200.67896301
29 1 91328606.65030983
29 2 10943690.74152558
29 3 31210061.467117384
29 4 54650906.609881334
29 5 5526387.762857103
29 6 20676920.61014067
30 1 8548637.429534202
30 2 86503387.55452599
30 3 40207248.02488196
30 4 51723933.21201385
30 5 13522900.780848637
30 6 17421035.09571433
31 1 72091973.06915665
31 2 77719283.51347664
31 3 2703309.887453395
