

param NumberOfPoints:=6634;
param NumberOfDimensions:=2;
param NumberOfClusters:=4;
param Point:=
1 1 5.419330524469307
1 2 -2.431190313351936
2 1 3.498407048940946
2 2 -3.522932947939447
3 1 5.963486551180782
3 2 -3.4625294844226056
4 1 8.306925774661307
4 2 -3.100160005195403
5 1 6.5452449264824395
5 2 -3.546524035368658
6 1 3.970420191999647
6 2 -1.9331136031978056
7 1 4.956690580765576
7 2 -1.4985052700048673
8 1 2.3215140501938953
8 2 -3.149137252117006
9 1 6.489795380269061
9 2 -2.934931656497184
10 1 2.091662540655304
10 2 -2.846746949141733
11 1 2.669992380238115
11 2 -1.7447395929944265
12 1 3.875521898979244
12 2 -0.7035225770823925
13 1 3.923422649357779
13 2 -0.8148914323742587
14 1 6.344596920352643
14 2 -2.177247981032468
15 1 2.9295755896767037
15 2 -2.376706994590016
16 1 3.1165747260368093
16 2 -2.2291960180883055
17 1 3.388157343916182
17 2 -3.363405291475229
18 1 3.2833232086293234
18 2 -2.1213376098279424
19 1 3.419637854408035
19 2 -2.2282479814346767
20 1 5.406194207669191
20 2 -2.569298480681329
21 1 4.701367384963468
21 2 -1.735164575609142
22 1 4.866237098197079
22 2 -1.5415872303298734
23 1 3.0653881053734784
23 2 -2.530092732544621
24 1 3.5022825460893987
24 2 -3.95789816945717
25 1 2.3410435492075328
25 2 -4.6075705345210665
26 1 1.0088407577550016
26 2 -1.8620394041420798
27 1 2.6943632231375125
27 2 -2.578231820476477
28 1 3.597679346604358
28 2 -2.0228427233765496
29 1 1.9696900007349722
29 2 -2.0616090837513195
30 1 3.5029056902757363
30 2 -3.7102164472628933
31 1 1.1212973837358051
31 2 -2.2455881019325576
32 1 1.8545796270267016
32 2 -0.5224646708870868
33 1 1.9497884291133174
33 2 -0.7193577802815692
34 1 4.085979707455589
34 2 -3.5884865362339324
35 1 5.210015099772662
35 2 -4.445954344503846
36 1 4.254576644567788
36 2 -3.6134202995392473
37 1 3.4744861021825897
37 2 -3.6189988150084575
38 1 4.06574507766517
38 2 -2.4738949522756597
39 1 0.6422032582577066
39 2 -2.444045493041036
40 1 2.846577881999363
40 2 -2.7362831838608526
41 1 5.103507347410068
41 2 -1.5756228172667726
42 1 -0.31679628175067354
42 2 -2.8642463794377155
43 1 3.8453602428515548
43 2 -1.8192156223728846
44 1 3.059235859044755
44 2 -3.607393937292893
45 1 5.34671308722761
45 2 -2.419076975538032
46 1 2.619542723204101
46 2 -2.667979274235412
47 1 5.056656774498062
47 2 -3.087524252485235
48 1 1.6516087900599565
48 2 -0.17704607549427065
49 1 2.4904373615411055
49 2 -1.8648899732221569
50 1 5.031481087986956
50 2 -3.9188856917367403
51 1 1.9795515514787274
51 2 -3.057640769990719
52 1 2.035338622664615
52 2 -2.479084620728395
53 1 4.787546285201813
53 2 -3.0352808551521075
54 1 3.534848870359582
54 2 -2.1814554244084894
55 1 4.928017127297194
55 2 -4.4819085101259395
56 1 3.349337712818453
56 2 -1.8998338403626644
57 1 7.497510831627363
57 2 -3.670750794048253
58 1 5.68071838420009
58 2 -1.4069047015642095
59 1 1.981702435275582
59 2 -4.456283206569262
60 1 3.6566591240928172
60 2 -2.3116018335760598
61 1 6.468661560888747
61 2 -3.100917469937251
62 1 4.2245231552726334
62 2 -2.634067196259322
63 1 3.7611165257743973
63 2 -3.3397438539564432
64 1 4.8750633524539095
64 2 -2.863998097451815
