param NumberOfClusters := 7 ;
param NumberOfPoints := 1000 ;
param NumberOfDimensions := 2 ;
param Point :=
1 1 237
1 2 125
2 1 622
2 2 531
3 1 656
3 2 221
4 1 16
4 2 582
5 1 220
5 2 578
6 1 583
6 2 311
7 1 152
7 2 483
8 1 712
8 2 473
9 1 354
9 2 296
10 1 555
10 2 307
11 1 626
11 2 714
12 1 274
12 2 231
13 1 413
13 2 33
14 1 487
14 2 223
15 1 576
15 2 30
16 1 77
16 2 192
17 1 360
17 2 323
18 1 146
18 2 296
19 1 112
19 2 244
20 1 732
20 2 518
21 1 194
21 2 677
22 1 60
22 2 234
23 1 624
23 2 265
24 1 486
24 2 109
25 1 737
25 2 585
26 1 596
26 2 606
27 1 727
27 2 371
28 1 100
28 2 677
29 1 283
29 2 654
30 1 394
30 2 719
31 1 44
31 2 232
32 1 213
32 2 207
33 1 216
33 2 458
34 1 322
34 2 90
35 1 12
35 2 103
36 1 146
36 2 294
37 1 658
37 2 680
38 1 511
38 2 323
39 1 382
39 2 223
40 1 366
40 2 658
41 1 225
41 2 474
42 1 452
42 2 254
43 1 524
43 2 293
44 1 349
44 2 737
45 1 395
45 2 333
46 1 374
46 2 152
47 1 491
47 2 710
48 1 607
48 2 193
49 1 458
49 2 98
50 1 450
50 2 488
51 1 41
51 2 243
52 1 588
52 2 221
53 1 456
53 2 280
54 1 315
54 2 228
55 1 34
55 2 497
56 1 180
56 2 136
57 1 336
57 2 560
58 1 480
58 2 481
59 1 10
59 2 507
60 1 250
60 2 336
61 1 551
61 2 177
62 1 351
62 2 651
63 1 516
63 2 184
64 1 679
64 2 331
65 1 636
65 2 110
66 1 8
66 2 696
67 1 218
67 2 72
68 1 363
68 2 279
69 1 528
69 2 59
70 1 513
70 2 750
71 1 9
71 2 213
72 1 150
72 2 708
73 1 96
73 2 511
74 1 470
74 2 448
75 1 466
75 2 443
76 1 377
76 2 107
77 1 489
77 2 51
78 1 361
78 2 231
79 1 657
79 2 452
80 1 521
80 2 212
81 1 106
81 2 203
82 1 640
82 2 167
83 1 580
83 2 553
84 1 371
84 2 326
85 1 381
85 2 663
86 1 629
86 2 566
87 1 743
87 2 271
88 1 494
88 2 533
89 1 663
89 2 595
90 1 385
90 2 601
91 1 67
91 2 742
92 1 691
92 2 748
93 1 93
93 2 269
94 1 405
94 2 185
95 1 497
95 2 647
96 1 102
96 2 648
97 1 282
97 2 499
98 1 132
98 2 478
99 1 321
99 2 665
100 1 570
100 2 405
101 1 297
101 2 374
102 1 68
102 2 679
103 1 157
103 2 399
104 1 414
104 2 687
105 1 641
105 2 702
106 1 314
106 2 731
107 1 548
107 2 595
108 1 500
108 2 551
109 1 415
109 2 733
110 1 268
110 2 626
111 1 734
111 2 119
112 1 666
112 2 564
113 1 616
113 2 51
114 1 512
114 2 676
115 1 278
115 2 583
116 1 532
116 2 278
117 1 652
117 2 165
118 1 464
118 2 314
119 1 112
119 2 256
120 1 313
120 2 437
121 1 571
121 2 691
122 1 479
122 2 90
123 1 16
123 2 442
124 1 580
124 2 72
125 1 258
125 2 658
126 1 260
126 2 475
127 1 219
127 2 709
128 1 460
128 2 695
129 1 648
129 2 490
130 1 23
130 2 243
131 1 669
131 2 598
132 1 351
132 2 332
133 1 428
133 2 47
134 1 642
134 2 288
135 1 445
135 2 713
136 1 74
136 2 172
137 1 444
137 2 686
138 1 233
138 2 379
139 1 293
139 2 714
140 1 325
140 2 408
141 1 426
141 2 192
142 1 554
142 2 145
143 1 66
143 2 218
144 1 115
144 2 722
145 1 66
145 2 186
146 1 742
146 2 548
147 1 480
147 2 419
148 1 370
148 2 513
149 1 317
149 2 659
150 1 584
150 2 480
151 1 578
151 2 663
152 1 293
152 2 632
153 1 415
153 2 150
154 1 504
154 2 220
155 1 549
155 2 649
156 1 639
156 2 335
157 1 254
157 2 138
158 1 143
158 2 196
159 1 253
159 2 694
160 1 732
160 2 320
161 1 672
161 2 41
162 1 311
162 2 538
163 1 386
163 2 252
164 1 655
164 2 44
165 1 244
165 2 600
166 1 331
166 2 180
167 1 446
167 2 275
168 1 459
168 2 334
169 1 685
169 2 390
170 1 685
170 2 14
171 1 522
171 2 681
172 1 398
172 2 439
173 1 22
173 2 284
174 1 577
174 2 655
175 1 317
175 2 576
176 1 675
176 2 471
177 1 554
177 2 264
178 1 446
178 2 417
179 1 532
179 2 13
180 1 72
180 2 154
181 1 395
181 2 675
182 1 661
182 2 304
183 1 74
183 2 696
184 1 679
184 2 666
185 1 493
185 2 158
186 1 69
186 2 298
187 1 640
187 2 398
188 1 153
188 2 156
189 1 89
189 2 68
190 1 403
190 2 131
191 1 202
191 2 545
192 1 560
192 2 658
193 1 96
193 2 192
194 1 153
194 2 100
195 1 308
195 2 31
196 1 739
196 2 310
197 1 47
197 2 63
198 1 61
